(250000, 7)
(250001, 11)
(250002, 3)
(250003, 2)
(250004, 2)
(250005, 15)
(250006, 1)
(250007, 1)
(250008, 8)
(250009, 13)
(250010, 5)
(250011, 9)
(250012, 1)
(250013, 11)
(250014, 10)
(250015, 1)
(250016, 28)
(250017, 7)
(250018, 1)
(250019, 7)
(250020, 2)
(250021, 8)
(250022, 10)
(250023, 3)
(250024, 5)
(250025, 2)
(250026, 1)
(250027, 6)
(250028, 10)
(250029, 2)
(250030, 7)
(250031, 1)
(250032, 15)
(250033, 3)
(250034, 10)
(250035, 3)
(250036, 15)
(250037, 1)
(250038, 1)
(250039, 21)
(250040, 1)
(250041, 13)
(250042, 17)
(250043, 5)
(250044, 8)
(250045, 6)
(250046, 11)
(250047, 11)
(250048, 5)
(250049, 8)
(250050, 21)
(250051, 3)
(250052, 10)
(250053, 4)
(250054, 6)
(250055, 23)
(250056, 6)
(250057, 17)
(250058, 6)
(250059, 8)
(250060, 2)
(250061, 10)
(250062, 10)
(250063, 11)
(250064, 8)
(250065, 8)
(250066, 2)
(250067, 16)
(250068, 3)
(250069, 3)
(250070, 1)
(250071, 13)
(250072, 3)
(250073, 9)
(250074, 7)
(250075, 5)
(250076, 2)
(250077, 14)
(250078, 4)
(250079, 4)
(250080, 8)
(250081, 5)
(250082, 20)
(250083, 1)
(250084, 11)
(250085, 10)
(250086, 6)
(250087, 7)
(250088, 4)
(250089, 8)
(250090, 5)
(250091, 17)
(250092, 10)
(250093, 8)
(250094, 6)
(250095, 25)
(250096, 1)
(250097, 5)
(250098, 1)
(250099, 24)
(250100, 2)
(250101, 4)
(250102, 7)
(250103, 9)
(250104, 13)
(250105, 4)
(250106, 4)
(250107, 2)
(250108, 7)
(250109, 11)
(250110, 6)
(250111, 2)
(250112, 2)
(250113, 6)
(250114, 10)
(250115, 6)
(250116, 5)
(250117, 3)
(250118, 9)
(250119, 2)
(250120, 1)
(250121, 8)
(250122, 1)
(250123, 12)
(250124, 2)
(250125, 1)
(250126, 18)
(250127, 13)
(250128, 17)
(250129, 11)
(250130, 12)
(250131, 5)
(250132, 3)
(250133, 4)
(250134, 4)
(250135, 19)
(250136, 2)
(250137, 2)
(250138, 7)
(250139, 15)
(250140, 23)
(250141, 4)
(250142, 27)
(250143, 7)
(250144, 14)
(250145, 2)
(250146, 1)
(250147, 4)
(250148, 15)
(250149, 4)
(250150, 8)
(250151, 11)
(250152, 12)
(250153, 2)
(250154, 11)
(250155, 13)
(250156, 14)
(250157, 4)
(250158, 10)
(250159, 8)
(250160, 2)
(250161, 9)
(250162, 12)
(250163, 9)
(250164, 10)
(250165, 3)
(250166, 7)
(250167, 11)
(250168, 22)
(250169, 13)
(250170, 3)
(250171, 6)
(250172, 8)
(250173, 9)
(250174, 4)
(250175, 5)
(250176, 9)
(250177, 6)
(250178, 13)
(250179, 5)
(250180, 9)
(250181, 8)
(250182, 7)
(250183, 11)
(250184, 9)
(250185, 8)
(250186, 6)
(250187, 11)
(250188, 4)
(250189, 6)
(250190, 7)
(250191, 2)
(250192, 5)
(250193, 6)
(250194, 12)
(250195, 5)
(250196, 21)
(250197, 8)
(250198, 5)
